City,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Hayesville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
High Point,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Jacksonville,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Kernersville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Knightdale,1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 ,20180902
Morrisville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Murphy,1,0,1,0.00%,4,0:13:44,0.00%,0,$0.00 ,20180902
Oxford,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180902
Rocky Mount,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Salisbury,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Selma,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Timberlake,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Winston-Salem,1,0,1,0.00%,2,0:01:24,0.00%,0,$0.00 ,20180902
Cherry Hill,1,0,2,50.00%,1.5,0:01:46,0.00%,0,$0.00 ,20180902
Mount Laurel,1,0,2,0.00%,4,0:06:22,0.00%,0,$0.00 ,20180902
Newark,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Las Vegas,1,1,1,0.00%,3,0:02:14,0.00%,0,$0.00 ,20180902
Newburgh,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180902
Cleveland,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Canonsburg,1,1,1,0.00%,4,0:28:01,0.00%,0,$0.00 ,20180902
Pittsburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Andrews,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Blythewood,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Conway,1,0,2,50.00%,1.5,0:02:17,0.00%,0,$0.00 ,20180902
Myrtle Beach,1,1,3,66.67%,1.33,0:00:04,0.00%,0,$0.00 ,20180902
North Myrtle Beach,1,0,2,0.00%,6,0:11:51,0.00%,0,$0.00 ,20180902
Nashville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Dallas,1,0,2,50.00%,5,0:04:31,0.00%,0,$0.00 ,20180902
Fort Worth,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Houston,1,1,1,0.00%,3,0:00:20,0.00%,0,$0.00 ,20180902
New Caney,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Tyler,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Charlottesville,1,0,2,50.00%,1.5,0:03:08,0.00%,0,$0.00 ,20180902
Danville,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Hampton,1,1,1,0.00%,2,0:01:08,0.00%,0,$0.00 ,20180902
Virginia Beach,1,0,1,0.00%,12,1:03:04,0.00%,0,$0.00 ,20180902
Holden Beach,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180902
Richlands,1,0,2,0.00%,2.5,0:09:52,0.00%,0,$0.00 ,20180902
Saxapahaw,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
Spokane Valley,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180902
,391,165,542,45.94%,2.42,0:04:26,0.00%,0,$0.00 ,20180902
Durham,159,73,203,50.25%,2.39,0:03:44,0.00%,0,$0.00 ,20180909
Charlotte,43,16,66,50.00%,2.11,0:03:25,0.00%,0,$0.00 ,20180909
Raleigh,35,10,51,64.71%,1.67,0:02:15,0.00%,0,$0.00 ,20180909
Atlanta,10,3,12,66.67%,1.92,0:05:29,0.00%,0,$0.00 ,20180909
Franklin,10,4,11,18.18%,1.91,0:03:00,0.00%,0,$0.00 ,20180909
Cary,6,4,7,71.43%,1.86,0:02:16,0.00%,0,$0.00 ,20180909
(not set),5,3,5,60.00%,1.6,0:02:48,0.00%,0,$0.00 ,20180909
Chapel Hill,4,0,8,50.00%,2.88,0:03:32,0.00%,0,$0.00 ,20180909
Sylva,4,2,4,50.00%,1.5,0:01:02,0.00%,0,$0.00 ,20180909
Myrtle Beach,4,2,4,50.00%,1.5,0:00:21,0.00%,0,$0.00 ,20180909
Norfolk,4,2,6,16.67%,3.17,0:03:26,0.00%,0,$0.00 ,20180909
Clayton,3,2,3,0.00%,3.67,0:05:41,0.00%,0,$0.00 ,20180909
Greensboro,3,2,3,33.33%,2.33,0:07:12,0.00%,0,$0.00 ,20180909
Hillsborough,3,2,4,50.00%,1.75,0:00:45,0.00%,0,$0.00 ,20180909
Mebane,3,0,3,0.00%,2.33,0:00:53,0.00%,0,$0.00 ,20180909
Winston-Salem,3,0,6,66.67%,2.33,0:00:53,0.00%,0,$0.00 ,20180909
New York,3,2,3,33.33%,2,0:05:04,0.00%,0,$0.00 ,20180909
Huntsville,2,2,4,25.00%,3,0:05:07,0.00%,0,$0.00 ,20180909
Washington,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Efland,2,2,2,50.00%,2,0:02:28,0.00%,0,$0.00 ,20180909
Fayetteville,2,2,2,50.00%,2.5,0:11:14,0.00%,0,$0.00 ,20180909
Marion,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Rocky Mount,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Wake Forest,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Cincinnati,2,1,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 ,20180909
Providence,2,1,2,50.00%,3,0:03:59,0.00%,0,$0.00 ,20180909
Saint-Brieuc,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Birmingham,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180909
Corona,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Ontario,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180909
Clayton,1,0,2,0.00%,6.5,0:06:47,0.00%,0,$0.00 ,20180909
Miami,1,1,1,0.00%,2,0:03:05,0.00%,0,$0.00 ,20180909
Tallahassee,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Chicago,1,1,1,0.00%,2,0:00:36,0.00%,0,$0.00 ,20180909
Schiller Park,1,1,2,50.00%,2,0:00:22,0.00%,0,$0.00 ,20180909
Hyattsville,1,0,1,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180909
Black Mountain,1,0,4,50.00%,2.5,0:01:12,0.00%,0,$0.00 ,20180909
Burlington,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Burnsville,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 ,20180909
Cashiers,1,0,5,80.00%,1.2,0:00:05,0.00%,0,$0.00 ,20180909
Concord,1,1,1,0.00%,3,0:01:43,0.00%,0,$0.00 ,20180909
Cornelius,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Creedmoor,1,0,3,33.33%,3,0:07:37,0.00%,0,$0.00 ,20180909
Henderson,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Hickory,1,0,1,0.00%,2,0:28:37,0.00%,0,$0.00 ,20180909
Jacksonville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Oxford,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Pittsboro,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Salisbury,1,1,1,0.00%,3,0:01:14,0.00%,0,$0.00 ,20180909
Timberlake,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Warrenton,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Wendell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Omaha,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Mount Vernon,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180909
Newburgh,1,0,2,50.00%,1.5,0:00:11,0.00%,0,$0.00 ,20180909
Columbus,1,1,2,0.00%,3,0:03:14,0.00%,0,$0.00 ,20180909
Philadelphia,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Pittsburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Andrews,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Blythewood,1,0,1,0.00%,2,0:01:03,0.00%,0,$0.00 ,20180909
Columbia,1,0,1,0.00%,3,0:00:38,0.00%,0,$0.00 ,20180909
Gainesville,1,0,1,0.00%,5,0:01:53,0.00%,0,$0.00 ,20180909
Hampton,1,0,2,50.00%,1.5,0:01:07,0.00%,0,$0.00 ,20180909
Virginia Beach,1,0,1,0.00%,2,0:07:45,0.00%,0,$0.00 ,20180909
Roodepoort,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Lusaka,1,0,2,0.00%,2.5,0:09:13,0.00%,0,$0.00 ,20180909
Friendly,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180909
Panthersville,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
Port Wentworth,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180909
West Springfield,1,0,1,0.00%,5,0:07:18,0.00%,0,$0.00 ,20180909
,364,159,483,51.76%,2.16,0:03:10,0.00%,0,$0.00 ,20180909
Durham,335,175,460,49.57%,2.12,0:02:57,0.00%,0,$0.00 ,20180916
Raleigh,55,25,74,56.76%,2.78,0:05:06,0.00%,0,$0.00 ,20180916
Charlotte,52,22,71,47.89%,2.46,0:06:33,0.00%,0,$0.00 ,20180916
Franklin,22,10,27,37.04%,2.56,0:04:00,0.00%,0,$0.00 ,20180916
Atlanta,21,8,27,44.44%,2.07,0:06:26,0.00%,0,$0.00 ,20180916
Winston-Salem,16,9,21,38.10%,2.43,0:04:45,0.00%,0,$0.00 ,20180916
Cary,12,7,14,35.71%,2,0:01:24,0.00%,0,$0.00 ,20180916
Wake Forest,11,8,11,54.55%,1.45,0:01:24,0.00%,0,$0.00 ,20180916
Mebane,8,5,13,46.15%,1.62,0:01:00,0.00%,0,$0.00 ,20180916
Chapel Hill,7,3,9,33.33%,1.67,0:03:17,0.00%,0,$0.00 ,20180916
Creedmoor,5,3,6,16.67%,3,0:03:13,0.00%,0,$0.00 ,20180916
Hillsborough,5,3,5,60.00%,1.4,0:00:03,0.00%,0,$0.00 ,20180916
Greensboro,4,1,8,87.50%,1.25,0:00:34,0.00%,0,$0.00 ,20180916
Sylva,4,2,5,20.00%,2,0:02:50,0.00%,0,$0.00 ,20180916
Washington,3,1,3,66.67%,1.33,0:04:08,0.00%,0,$0.00 ,20180916
Dania Beach,3,3,3,66.67%,1.33,0:00:03,0.00%,0,$0.00 ,20180916
Clayton,3,1,4,0.00%,2.75,0:04:19,0.00%,0,$0.00 ,20180916
High Point,3,2,6,83.33%,1.17,0:00:15,0.00%,0,$0.00 ,20180916
Virginia Beach,3,2,6,66.67%,1.83,0:00:49,0.00%,0,$0.00 ,20180916
Seattle,3,1,3,33.33%,2,0:00:19,0.00%,0,$0.00 ,20180916
(not set),2,0,2,0.00%,3,0:03:26,0.00%,0,$0.00 ,20180916
Clayton,2,0,2,50.00%,2.5,0:01:46,0.00%,0,$0.00 ,20180916
Miami,2,2,2,50.00%,2.5,0:00:54,0.00%,0,$0.00 ,20180916
Billerica,2,1,3,33.33%,2.67,0:01:03,0.00%,0,$0.00 ,20180916
Cashiers,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Greenville,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Henderson,2,1,4,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Knightdale,2,1,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 ,20180916
Roxboro,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
New York,2,1,2,50.00%,1.5,0:01:29,0.00%,0,$0.00 ,20180916
Greensburg,2,0,2,50.00%,2.5,0:00:42,0.00%,0,$0.00 ,20180916
Philadelphia,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Blythewood,2,0,4,75.00%,1.25,0:00:18,0.00%,0,$0.00 ,20180916
Columbia,2,1,3,0.00%,4.33,0:10:40,0.00%,0,$0.00 ,20180916
Iwakuni,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Huntsville,1,0,1,0.00%,2,0:03:23,0.00%,0,$0.00 ,20180916
Montgomery,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 ,20180916
New Haven,1,1,1,0.00%,2,0:00:11,0.00%,0,$0.00 ,20180916
Hollywood,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Orlando,1,0,2,0.00%,2,0:03:10,0.00%,0,$0.00 ,20180916
Pompano Beach,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Tallahassee,1,1,1,0.00%,2,0:14:38,0.00%,0,$0.00 ,20180916
Kennesaw,1,0,2,0.00%,3,0:14:22,0.00%,0,$0.00 ,20180916
Marietta,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Overland Park,1,0,2,50.00%,1.5,0:00:31,0.00%,0,$0.00 ,20180916
Springfield,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Hyattsville,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180916
Kansas City,1,1,1,0.00%,2,0:01:13,0.00%,0,$0.00 ,20180916
Black Mountain,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Cherokee,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Concord,1,1,1,0.00%,2,0:00:14,0.00%,0,$0.00 ,20180916
Eden,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Fayetteville,1,0,1,0.00%,2,0:02:14,0.00%,0,$0.00 ,20180916
Fort Bragg,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Goldsboro,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Graham,1,0,2,50.00%,3,0:02:40,0.00%,0,$0.00 ,20180916
Hayesville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Hickory,1,1,1,0.00%,4,0:02:47,0.00%,0,$0.00 ,20180916
Kernersville,1,1,1,0.00%,2,0:00:23,0.00%,0,$0.00 ,20180916
Mars Hill,1,0,6,33.33%,2.5,0:02:42,0.00%,0,$0.00 ,20180916
Morrisville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Oxford,1,0,1,0.00%,2,0:00:09,0.00%,0,$0.00 ,20180916
Pinetown,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Robbinsville,1,1,3,66.67%,1.67,0:01:49,0.00%,0,$0.00 ,20180916
Swansboro,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Welcome,1,1,3,33.33%,3,0:01:16,0.00%,0,$0.00 ,20180916
Wendell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Williamston,1,1,1,0.00%,2,0:13:27,0.00%,0,$0.00 ,20180916
Zebulon,1,1,1,0.00%,3,0:04:13,0.00%,0,$0.00 ,20180916
Geneseo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Newburgh,1,0,2,50.00%,2,0:01:55,0.00%,0,$0.00 ,20180916
Poughkeepsie,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Cincinnati,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180916
Pittsburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Andrews,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Bennettsville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Charleston,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Conway,1,0,1,0.00%,2,0:01:39,0.00%,0,$0.00 ,20180916
Myrtle Beach,1,0,1,0.00%,2,0:00:27,0.00%,0,$0.00 ,20180916
Carrollton,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180916
Dallas,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Fort Worth,1,1,2,50.00%,1.5,0:03:31,0.00%,0,$0.00 ,20180916
Houston,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Texarkana,1,1,1,0.00%,2,0:00:32,0.00%,0,$0.00 ,20180916
Blacksburg,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Charlottesville,1,0,1,0.00%,3,0:29:53,0.00%,0,$0.00 ,20180916
Danville,1,1,2,0.00%,2,0:02:21,0.00%,0,$0.00 ,20180916
Gloucester County,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Newport News,1,0,1,0.00%,3,0:21:51,0.00%,0,$0.00 ,20180916
Norfolk,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180916
Richmond,1,1,1,0.00%,2,0:00:29,0.00%,0,$0.00 ,20180916
Antigo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Wautoma,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Camp Springs,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Friendly,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180916
North Druid Hills,1,1,1,0.00%,2,0:00:01,0.00%,0,$0.00 ,20180916
Spokane Valley,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180916
Saint Charles,1,0,1,0.00%,2,0:00:16,0.00%,0,$0.00 ,20180916
,667,331,892,49.44%,2.14,0:03:20,0.00%,0,$0.00 ,20180916
Durham,179,70,247,44.94%,2.51,0:04:34,0.00%,0,$0.00 ,20180923
Charlotte,44,18,70,45.71%,2.26,0:03:53,0.00%,0,$0.00 ,20180923
Raleigh,25,7,29,72.41%,1.69,0:01:58,0.00%,0,$0.00 ,20180923
Franklin,14,9,19,47.37%,2.58,0:03:46,0.00%,0,$0.00 ,20180923
Cary,12,4,14,21.43%,3.86,0:07:07,0.00%,0,$0.00 ,20180923
Atlanta,8,3,11,63.64%,2.36,0:08:11,0.00%,0,$0.00 ,20180923
Mebane,8,5,12,33.33%,2.33,0:02:21,0.00%,0,$0.00 ,20180923
Washington,7,3,7,28.57%,4.43,0:01:13,0.00%,0,$0.00 ,20180923
Greensboro,5,3,6,33.33%,2.17,0:09:10,0.00%,0,$0.00 ,20180923
Hillsborough,5,4,7,42.86%,2,0:02:20,0.00%,0,$0.00 ,20180923
New York,5,2,13,53.85%,2.08,0:01:03,0.00%,0,$0.00 ,20180923
Norfolk,5,4,5,20.00%,1.8,0:00:04,0.00%,0,$0.00 ,20180923
Creedmoor,4,1,5,40.00%,2.4,0:05:54,0.00%,0,$0.00 ,20180923
Sylva,4,1,6,16.67%,3.17,0:02:21,0.00%,0,$0.00 ,20180923
Mount Laurel,3,2,9,44.44%,3.89,0:05:08,0.00%,0,$0.00 ,20180923
Fairport,3,3,4,75.00%,1.5,0:00:10,0.00%,0,$0.00 ,20180923
Virginia Beach,3,0,5,40.00%,2.4,0:07:37,0.00%,0,$0.00 ,20180923
Seattle,3,0,3,66.67%,1.33,0:00:38,0.00%,0,$0.00 ,20180923
(not set),2,1,3,0.00%,2.67,0:14:42,0.00%,0,$0.00 ,20180923
Miami,2,1,2,50.00%,2,0:12:24,0.00%,0,$0.00 ,20180923
Chapel Hill,2,1,4,75.00%,2,0:02:05,0.00%,0,$0.00 ,20180923
Greenville,2,2,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 ,20180923
Henderson,2,0,2,50.00%,3.5,0:00:56,0.00%,0,$0.00 ,20180923
Wake Forest,2,0,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 ,20180923
Williamston,2,0,2,50.00%,2,0:09:01,0.00%,0,$0.00 ,20180923
Winston-Salem,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Harrison,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Philadelphia,2,1,2,50.00%,2,0:03:06,0.00%,0,$0.00 ,20180923
Surprise,1,1,1,0.00%,6,0:02:58,0.00%,0,$0.00 ,20180923
San Diego,1,0,1,0.00%,3,0:14:58,0.00%,0,$0.00 ,20180923
Merritt Island,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Panama City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Winter Haven,1,1,2,0.00%,3.5,0:02:29,0.00%,0,$0.00 ,20180923
Kennesaw,1,0,3,0.00%,4.33,0:23:53,0.00%,0,$0.00 ,20180923
Smyrna,1,1,1,0.00%,3,0:00:38,0.00%,0,$0.00 ,20180923
Chicago,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
West Lafayette,1,1,1,0.00%,2,0:00:59,0.00%,0,$0.00 ,20180923
Hyattsville,1,0,1,0.00%,4,0:00:39,0.00%,0,$0.00 ,20180923
Branson,1,1,6,66.67%,2.5,0:01:59,0.00%,0,$0.00 ,20180923
Kansas City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
St. Louis,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Boone,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Burlington,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Cashiers,1,0,4,25.00%,3.25,0:09:15,0.00%,0,$0.00 ,20180923
Cherokee,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Graham,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Jacksonville,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 ,20180923
Kernersville,1,1,1,0.00%,2,0:02:39,0.00%,0,$0.00 ,20180923
Kill Devil Hills,1,0,1,0.00%,5,0:27:00,0.00%,0,$0.00 ,20180923
Knightdale,1,0,1,0.00%,4,0:30:11,0.00%,0,$0.00 ,20180923
Mars Hill,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Ocean Isle Beach,1,0,1,0.00%,3,0:08:41,0.00%,0,$0.00 ,20180923
Oxford,1,0,2,50.00%,1.5,0:00:16,0.00%,0,$0.00 ,20180923
Wilmington,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Newburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Cincinnati,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 ,20180923
Oklahoma City,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Ligonier,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Mountville,1,1,1,0.00%,2,0:00:05,0.00%,0,$0.00 ,20180923
Pittsburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Conway,1,0,1,0.00%,2,0:02:48,0.00%,0,$0.00 ,20180923
Clarksville,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Gatlinburg,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Nashville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Austin,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Carrollton,1,0,1,0.00%,9,0:17:37,0.00%,0,$0.00 ,20180923
Dallas,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Blacksburg,1,0,2,50.00%,1.5,0:04:34,0.00%,0,$0.00 ,20180923
Gloucester County,1,0,2,50.00%,2,0:05:29,0.00%,0,$0.00 ,20180923
Friendly,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180923
North Druid Hills,1,0,1,0.00%,2,0:00:05,0.00%,0,$0.00 ,20180923
Okaloosa Island,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180923
Panthersville,1,1,2,0.00%,3.5,0:01:52,0.00%,0,$0.00 ,20180923
Tysons,1,1,2,50.00%,2.5,0:03:33,0.00%,0,$0.00 ,20180923
,403,167,559,46.69%,2.43,0:04:11,0.00%,0,$0.00 ,20180923
Durham,180,70,227,41.41%,2.51,0:04:32,0.00%,0,$0.00 ,20180930
Charlotte,43,17,54,46.30%,2.22,0:04:04,0.00%,0,$0.00 ,20180930
Raleigh,33,14,47,59.57%,1.49,0:01:40,0.00%,0,$0.00 ,20180930
Atlanta,17,11,22,40.91%,2.82,0:04:35,0.00%,0,$0.00 ,20180930
Franklin,15,7,20,55.00%,1.8,0:01:31,0.00%,0,$0.00 ,20180930
Winston-Salem,9,5,13,69.23%,1.92,0:02:11,0.00%,0,$0.00 ,20180930
Cary,7,2,7,57.14%,2.86,0:12:09,0.00%,0,$0.00 ,20180930
Chapel Hill,6,4,11,36.36%,1.64,0:00:37,0.00%,0,$0.00 ,20180930
Greensboro,6,4,8,25.00%,2.5,0:02:41,0.00%,0,$0.00 ,20180930
Mebane,6,4,9,22.22%,2.78,0:06:55,0.00%,0,$0.00 ,20180930
New York,5,1,10,70.00%,3.3,0:07:45,0.00%,0,$0.00 ,20180930
Smithfield,4,2,7,57.14%,2.71,0:04:08,0.00%,0,$0.00 ,20180930
Miami,3,1,3,66.67%,2.33,0:01:46,0.00%,0,$0.00 ,20180930
Fayetteville,3,2,3,33.33%,1.67,0:00:04,0.00%,0,$0.00 ,20180930
Orlando,2,2,2,50.00%,5,0:02:05,0.00%,0,$0.00 ,20180930
Apex,2,2,2,0.00%,2.5,0:00:45,0.00%,0,$0.00 ,20180930
Greenville,2,2,3,33.33%,1.67,0:09:33,0.00%,0,$0.00 ,20180930
Henderson,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
High Point,2,0,3,33.33%,2.33,0:09:42,0.00%,0,$0.00 ,20180930
Hillsborough,2,0,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 ,20180930
Knightdale,2,1,2,0.00%,2.5,0:00:21,0.00%,0,$0.00 ,20180930
Sylva,2,0,2,50.00%,1.5,0:00:31,0.00%,0,$0.00 ,20180930
Austin,2,1,3,33.33%,2.33,0:04:06,0.00%,0,$0.00 ,20180930
Norfolk,2,0,4,75.00%,1.25,0:00:01,0.00%,0,$0.00 ,20180930
Seattle,2,0,3,33.33%,2.33,0:02:50,0.00%,0,$0.00 ,20180930
Fearrington,2,1,2,50.00%,2.5,0:02:35,0.00%,0,$0.00 ,20180930
(not set),1,0,1,0.00%,2,0:25:08,0.00%,0,$0.00 ,20180930
Washington,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Clayton,1,0,4,75.00%,1.25,0:00:10,0.00%,0,$0.00 ,20180930
Destin,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Tallahassee,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
Kennesaw,1,0,3,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180930
Chicago,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180930
